"","bank","assets","liabilities","buffer","weights","original_stress","additional_stress","original_losses","additional_losses","additional_defaults"
"16","b1011",189927.326281904,2223574.95973541,1289864.58611175,8564215.32306277,0.000189081310143097,0.451752363890729,1289864.58611175,1863020590.51727,222
"17","b1012",31122.7643136353,25600.5763579134,549641.058404231,3460512.1151989,7.64014144700261e-05,1.2139839359738e-05,549641.058404231,40541.7777221537,0
"18","b1013",12807.2441940676,723609.034129535,357089.808921591,2239094.0570246,4.94348661103522e-05,0.451038734763748,357089.808921591,1859880019.44725,223
"19","b1014",4484.98896298,641950.471495779,264302.934467694,2659772.47367211,5.87226319088641e-05,0.000505597048113719,264302.934467694,660775.674482117,1
"20","b1015",19743.5739250402,3086.36964399805,163024.094734422,1634033.45228788,3.60762982154619e-05,1.4816204814624e-06,163024.094734422,5301.06807099446,0
"21","b1016",71234.6557829386,204973.058864405,383974.848700851,5895181.08507703,0.000130154196391519,0.450998346444358,383974.848700851,1858993607.45537,222
"22","b1017",2659.34927569556,68060.8701112933,76614.8712347666,391792.761094505,8.65002639212454e-06,2.5599352983572e-05,76614.8712347666,68060.8701112933,0
"23","b1018",24790,35557.4963960585,23303,479874,1.05946897877808e-05,1.39050503921012e-05,23303,39449.9376511014,0
"24","b1019",49377,2001.24704017202,9833,66432,1.46669007277296e-06,7.52717814287706e-07,9833,2001.24704017202,0
"25","b102",9947.94565025587,3690.42713427418,31965.3926239633,207961.441326981,4.5913864028456e-06,2.23137782700215e-06,31965.3926239633,3690.42713427418,0
"26","b1020",37211,2924.14543028634,8927,67421,1.48852527993175e-06,1.22487970759862e-06,8927,4135.08114234034,0
"27","b1021",20060,1756.86802791868,10839,47026,1.03824312623767e-06,7.67746968390308e-07,10839,1756.86802791868,0
"28","b1022",21629,1702.9505954158,8267,32832,7.24867059087214e-07,6.88181850335272e-06,8267,15738.7975396729,0
"29","b1023",3727394,2830910.28564011,8148456,84973598,0.00187605269500241,0.450755465320452,8148456,1862617093.30885,222
"30","b1024",1361100,5242845.00873382,5931851,64759714,0.0014297692322889,0.455138054434903,5931851,1881462011.31036,222
"31","b1025",1484522,5204393.47664251,3706812,49136758,0.00108484458042581,0.451720913811876,3706812,1865260852.40399,226
"32","b1026",826367,5203819.29099767,3116000,46980488,0.00103723830930318,0.451889968711705,3116000,1867265280.75337,223
"33","b1027",962502,5899524.32529915,4116619,47333581,0.00104503391982019,0.452779274688472,4116619,1868928734.27356,223
"34","b1028",816783,2785516.00883106,2472473,26816623,0.000592059169367097,0.450920358724961,2472473,1861154578.26601,222
"35","b1029",362408,2341947.09479937,1580247,18437103,0.000407055574734955,0.450932775759761,1580247,1860679488.92164,223
"36","b103",5498.11611081701,172.876222295212,28641.2465149109,45673.4540321158,1.00838152724826e-06,4.59857267517218e-08,28641.2465149109,172.876222295212,0
"37","b1030",657375,660837.961132016,535534,6566245,0.000144969989717231,0.450943262865161,535534,1859040099.27866,222
"38","b1031",73326,287275.581507352,329790,1511689,3.33751693373688e-05,0.450952626621448,329790,1858753614.39201,222
"39","b1032",52151,28288.446177715,424176,1533521,3.38571776717374e-05,0.450956925546173,424176,1858533696.86736,222
"40","b1033",170689,43332.8102988122,43622,529179,1.16832488261669e-05,1.91153261623293e-05,43622,43332.8102988122,0
"41","b1034",661216,576691.755107709,76214,927249,2.04718645124135e-05,0.450936872006595,76214,1858506680.06204,221
"42","b1035",121625,105786.00257066,35831,499949,1.10379069603921e-05,0.450953993872937,35831,1858581041.06301,222
"43","b1036",13196,42.0135837684819,24158,378428,8.35495831616277e-06,1.05888044456909e-08,24158,42.0135837684819,0
"44","b1037",76299,12223.1519710437,20715,193719,4.27694084488657e-06,0.450952975509047,20715,1858506059.01751,221
"45","b1038",79377,5325.92196905122,15773,147430,3.25496925320504e-06,3.22026252183999e-06,15773,5325.92196905122,0
"46","b1039",26514.0742417616,1610.99791632377,37923.0036271963,215128.395544465,4.74961889024328e-06,8.94024747014005e-07,37923.0036271963,1610.99791632377,0
"47","b104",779988.582857143,1028838.34508132,1242058.43231527,8642420.56315271,0.000190807930586238,0.451118053120376,1242058.43231527,1860058937.5836,222
"48","b1040",1098020.43824763,19193.6622964858,1367444.40305611,11282713.6854886,0.000249100496092934,0.450899528209322,1367444.40305611,1858519464.47178,222
"49","b1041",474557.175005788,1174036.29600093,1667100.93813187,13602305.593291,0.000300312599056237,0.45087145044384,1667100.93813187,1859343756.31875,222
"50","b1042",546013.912998739,132907.703131146,1215427.39238032,10158997.7691457,0.000224291022057572,0.450887716462904,1215427.39238032,1858701996.97468,222
"51","b1043",19103.0047590873,76250.3510466798,726786.121781185,7116017.52414272,0.000157107903726194,0.45095433220543,726786.121781185,1858578769.72418,222
"52","b1044",241044.322588943,472288.363903728,835067.474905461,8523137.16790574,0.000188174383927167,0.451173055063617,835067.474905461,1860973574.52624,223
"53","b1045",195955.549816068,505441.107875394,434736.039513287,2971820.65248373,6.56120521594946e-05,0.451059494741503,434736.039513287,1859283946.26112,222
"54","b1046",43625.7544310961,77626.277379534,211032.415506907,988847.434466082,2.18318388068764e-05,0.450952755227747,211032.415506907,1858567746.36899,222
"55","b1047",21376.6925115118,1663.50273713701,205832.262598719,1712361.95673089,3.7805640097111e-05,7.79023477455013e-07,205832.262598719,1663.50273713701,0
"56","b1048",98125.276464384,147042.45093539,172409.931006097,1233074.8770612,2.72239083750511e-05,0.450995111497917,172409.931006097,1859319116.65537,222
"57","b1049",112555.577598848,279902.599700256,189363.290715921,1202476.17729529,2.65483482656699e-05,0.451161750363066,189363.290715921,1859549273.14035,222
"58","b105",34341.3079802956,414784.36593781,674799.789162562,3269268.80748769,7.21791321225987e-05,0.450956441090179,674799.789162562,1858916005.183,222
"59","b1050",34385.7513441206,15984.4176346072,105231.70220976,845948.740771229,1.86769120328147e-05,0.450956688832214,105231.70220976,1858530815.97515,222
"60","b1051",36100.2828698583,136614.243453013,152008.441231703,847643.562575567,1.87143304202717e-05,0.450956461398159,152008.441231703,1858636878.53515,222
"61","b1052",1801.29714712011,14396.3718256675,37870.0873099581,754783.352558331,1.66641565855551e-05,4.04992668004818e-06,37870.0873099581,14396.3718256675,0
"62","b1053",22184.5768528284,20435.6263293795,67474.303089548,392729.267306357,8.67070263797012e-06,1.23561858324692e-05,67474.303089548,20435.6263293795,0
"63","b1054",11975.3696395956,3887.6069467856,38591.2060298922,435133.447482829,9.60690492164226e-06,0.450956717285514,38591.2060298922,1858509642.48229,222
"64","b1055",7219.54240732642,35980.503606893,40819.9042008592,239093.060170298,5.27871233472851e-06,0.450975371482288,40819.9042008592,1858590780.19633,222
"65","b1056",203429.604712783,24971.1427650004,22974.2511254598,602389.71481491,1.3299599811229e-05,0.450943643744857,22974.2511254598,1858503961.23781,221
"66","b1057",11348866.2271551,2955444.96000053,1048442.12634566,14749396.728699,0.000325638152718159,0.450631231697868,1048442.12634566,1858503462.64396,221
"67","b1058",302.202453475757,830.675219574501,4698.73270466494,6993.48485354252,1.54402619351801e-07,3.12437206956385e-07,4698.73270466494,830.675219574501,0
"68","b1059",30516.4825168989,42768.0588066073,276202.762496871,2277524.75573729,5.02833416084801e-05,0.450975926110947,276202.762496871,1858629308.39733,222
"69","b106",21918.6396059113,112560.021149915,305448.886699507,1191374.14226601,2.63032368048524e-05,0.451015329910403,305448.886699507,1858749995.65605,222
"70","b1060",40220.3492447634,31492.1341631913,293030.307852791,1257450.88567137,2.77620834991233e-05,0.450953490339299,293030.307852791,1858533557.48974,222
"71","b1061",1112.36622715514,17046.1331609685,112042.558666444,506744.691813402,1.11879426919724e-05,7.15677117189479e-06,112042.558666444,18163.4073984209,0
"72","b1062",191685.429358258,558315.375572092,541930.080614203,4644350.16273053,0.000102538268878829,0.451690498405955,541930.080614203,1861974650.64885,222
"73","b1063",12539.3892597847,58975.3248646648,36347.9242259868,202795.53943086,4.47733328043533e-06,0.4510013026701,36347.9242259868,1858690950.77201,222
"74","b1064",416.252315780689,100.543201793176,5089.5891262622,19563.5547859468,4.31925451479679e-07,3.19122818545016e-08,5089.5891262622,100.543201793176,0
"75","b1065",8841.4198447801,17117.3457705677,124047.070433114,395447.446173746,8.7307147700875e-06,5.43221384166974e-06,124047.070433114,17117.3457705677,0
"76","b1066",19080221.9811399,7029000.88768874,55313531.6698656,342804030.710173,0.00756844997515003,0.450185421164413,55313531.6698656,1865544815.61543,222
"77","b1067",12089835.6004339,8215201.81637701,21926762.9141283,166935291.66319,0.00368560836762191,0.449088767245092,21926762.9141283,1862521148.85293,223
"78","b1068",1244804.22264875,3114771.00781537,9985987.02328298,71775153.1753317,0.00158465656060359,0.452563435550501,9985987.02328298,1865848277.44741,223
"79","b1069",3394216.37857799,1066290.99945578,4859297.47826087,31871762.5279145,0.000703666872914702,0.451239872618885,4859297.47826087,1860521896.18529,222
"80","b107",24289.4530049261,303259.936165461,284381.097931035,1494779.59211823,3.30018423161039e-05,0.45122685623958,284381.097931035,1859744228.78096,222
"81","b1070",375537.803555036,534875.234143653,4082542.01785863,39072654.635734,0.000862648643291145,0.451150554672149,4082542.01785863,1859695391.01832,222
"82","b1071",2937352.24901944,6300643.10206571,1108370.06592673,34224949.0945506,0.00075562068096907,0.450201486584282,1108370.06592673,1858505073.69967,221
"83","b1072",237004.214303597,6487211.21736247,3973241.21672369,24767541.2667946,0.000546819407860704,0.453414818721098,3973241.21672369,1869628362.06599,223
"84","b1073",135203.454894434,1968231.77171708,1385220.06175415,8746395.1848452,0.000193103489134177,0.451780846467351,1385220.06175415,1862821809.81003,223
"85","b1074",170372.569473421,327432.010195868,2377817.28281732,13151395.5603772,0.000290357377642034,0.451020014589398,2377817.28281732,1858917551.38146,222
"86","b1075",143847.325377618,477268.450581202,1633937.66168739,9443030.33464074,0.000208483845868128,0.451152036594024,1633937.66168739,1859556998.30384,222
"87","b1076",1361981.51548026,17164.4288228141,1790499.94679963,7045912.75139781,0.000155560125934784,7.57171420629442e-06,1790499.94679963,17164.4288228141,0
"88","b1077",2110025.59993324,463018.578270992,1172922.02737211,12266263.1649837,0.000270815366300913,0.450686335061074,1172922.02737211,1858505366.63421,221
"89","b1078",505880.073103563,1509868.8293218,1288287.49545189,7759926.01911041,0.000171324157901039,0.452114089081937,1288287.49545189,1864412477.48841,222
"90","b1079",26915.3476174581,452265.859483353,547203.985437703,7253118.22849036,0.000160134822109456,0.451050931330869,547203.985437703,1859107591.39482,222
"91","b108",31989.3659113301,94540.4439149911,310483.429359606,1322856.03192118,2.9206102627147e-05,0.450996540051187,310483.429359606,1858754078.5771,222
"92","b1080",3023089.83025953,356961.052791367,848634.064925311,5894339.78102312,0.000130135622025189,0.450826796383564,848634.064925311,1858503884.28974,221
"93","b1081",656068.249394976,147204.767448048,1018637.279062,4744012.72974213,0.00010473862559943,0.450988617534042,1018637.279062,1858812422.79193,222
"94","b1082",1075042.44325294,49567.6362685244,533322.39276475,5030317.54168405,0.000111059682100248,0.450846213580378,533322.39276475,1858506200.26664,221
"95","b1083",48107.0919636151,1047195.08067463,665903.699866478,6073073.33330552,0.000134081713168072,0.45291098010617,665903.699866478,1869597850.78043,222
"96","b1084",48107.0919636151,1047195.08067463,579002.728949345,6073073.33330552,0.000134081713168072,0.451524196800423,579002.728949345,1860982537.13873,222
"97","b1085",121882.917466411,375275.447652962,202722.044813486,4744572.72803138,0.000104750989278555,0.451040633139247,202722.044813486,1859028478.70173,222
"98","b1086",333389.885671368,388830.581342332,368103.437870316,3189588.20829508,7.04199386039874e-05,0.451061873935182,368103.437870316,1859162021.6875,222
"99","b1087",30226.9635316699,363385.405497978,338396.12008679,4060228.17750146,8.96419852049379e-05,0.451105336474,338396.12008679,1859310953.92619,222
"100","b1088",209883.571142452,287482.810888481,380408.530459818,3318987.96294751,7.32768349125129e-05,0.45118767253061,380408.530459818,1859623595.42213,222
"101","b1089",50154.7191855128,173854.474573902,790196.288074773,3523238.713177,7.77862964328348e-05,0.451001816867132,790196.288074773,1858750032.64704,222
"102","b109",104218.561182266,120221.09922156,246560.491034483,1388426.51940887,3.06537721699136e-05,0.450955782009091,246560.491034483,1858620265.79164,222
"103","b1090",35893.0568305099,1138022.92173848,565413.377284486,4337644.7884503,9.5766807418645e-05,0.451630399787917,565413.377284486,1861396438.34044,222
"104","b1091",90104.1258032212,21527.2657000601,434225.42735542,3929296.99541016,8.67512779405212e-05,6.89281965627708e-06,434225.42735542,21527.2657000601,0
"105","b1092",93888.0271634816,12723.6980845843,412240.372611199,1755739.12117166,3.87633239914739e-05,0.450968746768042,412240.372611199,1858581230.40715,222
"106","b1093",47982.1395310022,341058.711341269,614545.006801302,3247741.9970792,7.17038617841384e-05,0.450955682076318,614545.006801302,1858839530.35614,222
"107","b1094",213273.604481349,285315.175699111,1204811.58219978,1492739.15413502,3.29567933918796e-05,0.450961348146001,1204811.58219978,1858760718.27453,222
"108","b1095",378742.377367938,445117.305763603,442548.243928899,946444.078194108,2.0895654713422e-05,0.450963048845142,442548.243928899,1858613258.94713,222
"109","b1096",7714.64716681966,15484.3627690125,170065.80618376,1306134.32254027,2.88369196257503e-05,0.450956346287903,170065.80618376,1858518746.45377,222
"110","b1097",331422.167195193,14703.5992346682,292682.43912209,1476373.20883752,3.25954649733555e-05,0.450933192389585,292682.43912209,1858510417.5204,222
"111","b1098",84817.0741884336,51807.5790221974,486344.404573145,3267325.12726362,7.21362194225554e-05,1.94860938516487e-05,486344.404573145,51807.5790221974,0
"112","b1099",681.09934907786,319240.968352253,97733.3477843612,1635411.23166152,3.6106716919246e-05,0.450956929012754,97733.3477843612,1858822849.4029,222
"113","b11",16931.8561834332,6754.9633622106,57637.215804999,302033.341033671,6.66831200235631e-06,1.98332395107787e-06,57637.215804999,6754.9633622106,0
"114","b110",194352.135960591,158891.891031178,300128.402364532,1561846.65812808,3.44825534180828e-05,0.450934617010652,300128.402364532,1858559982.98503,222
"115","b1100",23057.6041475424,21218.5391660474,285126.393223734,1243962.88592172,2.7464294552014e-05,0.450955033399598,285126.393223734,1858525574.77033,222
"116","b1101",330161.103229575,1885.75532253008,329673.368855879,1659796.87891179,3.66451048458494e-05,7.02953021554157e-07,329673.368855879,1885.75532253008,0
"117","b1102",73652.1182508554,8454.71301927729,102511.829967454,736252.020779438,1.62550206216316e-05,3.95936825959014e-06,102511.829967454,8454.71301927729,0
"118","b1103",526882.028749061,166425.83549641,115037.884210966,1585025.14053242,3.49942894796855e-05,0.450922049350385,115037.884210966,1858504641.87993,221
"119","b1104",69834.95898356,229293.927101067,346826.456563465,621347.573604273,1.37181526665907e-05,0.450954233184196,346826.456563465,1858687438.79739,222
"120","b1105",9156.20441458733,29946.2000605567,146231.687098389,702182.212509388,1.55028251500071e-05,9.50346885871034e-06,146231.687098389,29946.2000605567,0
"121","b1106",305866.614787616,23124.5004582431,296014.281982809,814968.491529667,1.79929280489721e-05,1.34886809476491e-05,296014.281982809,38708.447828809,0
"122","b1107",17765.5138946841,4690.83664173253,223684.531127431,1513240.28653092,3.34094187436026e-05,0.450954285935537,223684.531127431,1858508252.64431,222
"123","b1108",83666.5706834682,166575.874706185,229645.761203371,522220.63698573,1.15296216290965e-05,0.451005734638439,229645.761203371,1858773933.98522,222
"124","b1109",78384.5287490612,26323.846578427,88501.2742218142,675545.148293416,1.49147302913037e-05,0.450958992028579,88501.2742218142,1858542687.81254,222
"125","b111",4819.98384236453,72741.31723357,119863.304039409,651675.84591133,1.43877422607188e-05,0.451012627602864,119863.304039409,1858794348.98942,222
"126","b1110",3415.73328882584,3249.01448214667,114299.825085538,730496.85362597,1.61279576620468e-05,7.78314446137197e-07,114299.825085538,3249.01448214667,0
"127","b1111",201447.196987399,48552.9275510221,61640.1354001502,453073.119085371,1.00029781732116e-05,1.82619400652971e-05,61640.1354001502,48552.9275510221,0
"128","b1112",342541.688517066,17860.6882140762,89202.9045731453,722915.29600267,1.596057153334e-05,5.81445808576602e-06,89202.9045731453,17860.6882140762,0
"129","b1113",54395.6887256947,201482.381788676,137218.982516899,562457.448677293,1.2417972608565e-05,0.451052156402919,137218.982516899,1858841739.30569,222
"130","b1114",31178.4263540015,2098.20695039899,132200.09359092,579046.802553618,1.27842334564113e-05,7.43627612655356e-07,132200.09359092,2098.20695039899,0
"131","b1115",3484.23270466494,7946.27891352696,205223.670700159,185842.288742385,4.10303829479561e-06,2.00272354650627e-06,205223.670700159,7946.27891352696,0
"132","b1116",82159.4387465576,156934.382865459,172373.082533589,554768.038137361,1.22482052960591e-05,0.450951106077323,172373.082533589,1858586099.48889,222
"133","b1117",233075.625844947,17173.0363833992,198376.248435283,114828.288450305,2.53518651769586e-06,4.04742545238643e-06,198376.248435283,21993.2324237231,0
"134","b1118",135987.831845114,1676.29454315658,42962.1502128015,305135.346240507,6.73679827768383e-06,5.94097216672401e-07,42962.1502128015,1676.29454315658,0
"135","b1119",68325.8434448802,9778.4321479376,72669.1639405825,400340.51393641,8.83874424252404e-06,2.46448639969729e-06,72669.1639405825,9778.4321479376,0
"136","b112",6544.65931034483,39375.7408361214,125540.702660099,455686.416945813,1.00606747355477e-05,0.450985965690847,125540.702660099,1858657938.06002,222
"137","b1120",399.717474755904,37673.5285872807,65740.2257781858,456914.096052741,1.00877795157542e-05,0.450956989592865,65740.2257781858,1858542135.82513,222
"138","b1121",54407.7785612952,38767.2666743481,75585.0006258867,217088.215471919,4.7928879237214e-06,9.77062580451814e-06,75585.0006258867,38767.2666743481,0
"139","b1122",66114.5763164483,2027.7952798884,42219.5881665693,356609.479137111,7.87324757507129e-06,1.22608501959557e-06,42219.5881665693,2027.7952798884,0
"140","b1123",9964.47145956772,23673.9750884322,35070.5426020195,142274.734582325,3.14115096366666e-06,1.43142192400225e-05,35070.5426020195,23673.9750884322,0
"141","b1124",26842.6493365601,507.105966248976,44973.7975047985,254030.206709505,5.60849564013268e-06,1.90734920209738e-07,44973.7975047985,507.105966248976,0
"142","b1125",74820.5320871234,38383.7182356028,38643.3568805808,115539.387966286,2.55088621965942e-06,2.32083102233278e-05,38643.3568805808,38383.7182356028,0
"143","b1126",16985.3358090628,677.523499670525,28990.643912209,181292.137945423,4.0025797657204e-06,4.09657435150808e-07,28990.643912209,677.523499670525,0
"144","b1127",30284.9657848619,1196.1467672442,43150.7950847033,289204.446799633,6.38507483024471e-06,4.66991588385848e-07,43150.7950847033,1196.1467672442,0
"145","b1128",59118.0509054494,13064.887997859,203314.026871401,58809.347450555,1.29839664757925e-06,0.450957155439941,203314.026871401,1858518249.22832,222
"146","b1129",1879.03555036301,106.210606230243,53338.8778269215,398525.474881081,8.79867169067936e-06,4.6413771352404e-08,53338.8778269215,106.210606230243,0
"147","b113",12419.3864039409,8648.98341074293,41228.522955665,323880.842955665,7.15066258918009e-06,5.22951655910064e-06,41228.522955665,8648.98341074293,0
"148","b1130",75770.9813903029,245.776777036421,43340.2507719269,266831.561712426,5.89112479928529e-06,1.00404669887986e-07,43340.2507719269,245.776777036421,0
"149","b1131",96.1105733121923,10147.1682827786,33400.871150797,225837.462989235,4.98605438683979e-06,6.13537823380021e-06,33400.871150797,10147.1682827786,0
"150","b1132",33069.2766419094,62992.8454715593,37211.0081782525,276693.479512643,6.10885687021618e-06,0.450954505300433,37211.0081782525,1858541383.47291,222
"151","b1133",22463.8411916882,1348.84225602176,60925.112117166,182596.580530752,4.03137933506054e-06,8.15563237723281e-07,60925.112117166,1348.84225602176,0
"152","b1134",69807.376783777,6345.96206062328,41071.7198113995,180547.722607027,3.9861445148346e-06,2.61471219006999e-06,41071.7198113995,6345.96206062328,0
"153","b1135",1679.58946006843,41054.6777421076,51904.7482266544,174696.575189852,3.85696249666413e-06,0.450956897052837,51904.7482266544,1858544220.26976,222
"154","b1136",30898.8253776183,4068.61849305341,43496.2458482851,73427.5224067429,1.62113767735856e-06,1.11665303277817e-06,43496.2458482851,4068.61849305341,0
"155","b1137",18954.9654927814,24832.092456672,75100.3792038721,151215.406909789,3.33854371635523e-06,1.50144626867922e-05,75100.3792038721,24832.092456672,0
"156","b1138",21390.9298172411,5655.471458493,36095.7751397814,51221.8969373279,1.13088041526039e-06,1.81082657582963e-06,36095.7751397814,5655.471458493,0
"157","b1139",276.14053242093,19576.0868340016,22771.0388466995,134704.571810064,2.97401641123184e-06,5.03916362559065e-06,22771.0388466995,19576.0868340016,0
"158","b114",2054.10325123153,42252.7027352376,27002.8220689655,170678.052413793,3.76824128605993e-06,0.450974531050257,27002.8220689655,1858619478.13306,222
"159","b1140",117144.483768672,1450.3688893541,69030.0220729367,166057.598556288,3.66623060138224e-06,6.31509431779459e-07,69030.0220729367,1450.3688893541,0
"160","b1141",18472.1394475507,68.6678537607325,22346.779729617,92499.752065426,2.04221562030829e-06,2.43366423643534e-08,22346.779729617,68.6678537607325,0
"161","b1142",56796.9762163064,7338.69057630166,63302.3647250271,59843.5568722357,1.32122999132846e-06,8.31644289754128e-06,63302.3647250271,18709.6769311973,0
"162","b1143",5414.84190102645,330.088289198572,6793.2134690812,45033.8991905199,9.9426139331939e-07,8.31931016262974e-08,6793.2134690812,330.088289198572,0
"163","b1144",1759.06384044062,4085.02253666553,7355.15192355837,20913.0989735459,4.61720776966192e-07,1.14549313374329e-06,7355.15192355837,4085.02253666553,0
"164","b1145",809.87419677877,609.413261730971,5100.14420428941,3731.63272970041,8.23872332593667e-08,2.15982760354187e-07,5100.14420428941,609.413261730971,0
"165","b1146",126620,698.825943349081,84167,1066737,2.35514897663718e-05,1.68612661315607e-07,84167,698.825943349081,0
"166","b1147",30249,30223.1717102536,57357,1596926,3.5257037439081e-05,0.450961890951171,57357,1858572332.39758,222
"167","b1148",247279.652356085,191627.773091355,552518.918481753,3768783.38081332,8.32074477822528e-05,0.451131692203203,552518.918481753,1859358822.91819,222
"168","b1149",255563.553173673,36329.4827003152,432444.072069548,2814910.7449643,6.2147784883506e-05,0.450920142004429,432444.072069548,1858518321.80629,222
"169","b115",8322.66679802956,31564.7102820657,23918.5903448276,203085.86955665,4.48374320808049e-06,1.9085269015344e-05,23918.5903448276,31564.7102820657,0
"170","b1150",100464.175831671,631415.945547229,416446.313862456,2541268.83466451,5.61063007594194e-05,0.451517513917082,416446.313862456,1860815410.14697,222
"171","b1151",18789.8611287891,428724.198261086,318550.617438833,2145384.19359023,4.73659335715139e-05,0.451155258461605,318550.617438833,1859527192.33281,222
"172","b1152",78802.9566663114,8935.05865759145,309322.341547784,1780332.21820618,3.93062920080814e-05,3.16668302772366e-06,309322.341547784,8935.05865759145,0
"173","b1153",18587.8434250392,306957.49214372,169182.967299523,1244313.27467,2.74720304578832e-05,0.451079329622387,169182.967299523,1859310303.27514,222
"174","b1154",33799.7283354395,6081.58084151775,91312.7544099511,1053353.82340707,2.32560151118225e-05,2.1841257795212e-06,91312.7544099511,7537.88839373846,0
"175","b1155",90217.6120339215,118524.799989029,213618.358429378,1325925.10496491,2.92738618240076e-05,0.45097063393958,213618.358429378,1858668526.10922,222
"176","b1156",104117.823102572,16689.880989928,339404.915394102,1252712.94746426,2.76574789872348e-05,5.29655729016104e-06,339404.915394102,16689.880989928,0
"177","b1157",57969.9686667377,167895.403398492,92108.8558091381,699922.815206833,1.54529420275043e-05,0.450951709873987,92108.8558091381,1858614716.3664,222
"178","b1158",40193.7124952422,148913.603590686,138174.564211873,689642.169004735,1.52259652433294e-05,0.450954260228699,138174.564211873,1858625863.30758,222
"179","b1159",12887.5190329014,37157.9944187253,42647.2567713646,298639.206833026,6.59337608385703e-06,2.24671892507425e-05,42647.2567713646,37157.9944187253,0
"180","b116",479.988177339902,17080.7942607538,23576.4449261084,125105.841576355,2.76209501273401e-06,5.46910304660845e-06,23576.4449261084,17080.7942607538,0
"181","b1160",11020.6029262648,31571.6561239436,50047.1959440325,310503.011147821,6.85530593714806e-06,0.450956273953004,50047.1959440325,1858533019.06324,222
"182","b1161",29095.7310150576,9991.99042047502,34999.603099831,193748.561830666,4.27759351293166e-06,7.36585145906792e-06,34999.603099831,18451.6234251517,0
"183","b1162",7025,1434.06365929751,27032,213164,4.70624883599132e-06,5.40910791838833e-07,27032,1434.06365929751,0
"184","b1163",12319.5550372254,1063.47225546327,28733.8506051979,69457.3111858833,1.53348309245299e-06,5.21273698946599e-07,28733.8506051979,1063.47225546327,0
"185","b1164",520.196221129398,5132.35116277914,21662.0644630867,96280.0788782144,2.12567792474221e-06,0.450968408534999,21662.0644630867,1858555544.57681,222
"186","b1165",45294.3066031272,700.614013738561,23276.6507452688,91318.2319392214,2.01612994111926e-06,1.97093783143092e-07,23276.6507452688,700.614013738561,0
"187","b1166",2486.93353633471,6064.65250778206,17086.8059865106,47434.9554726633,1.04727207210655e-06,3.66692814732931e-06,17086.8059865106,6064.65250778206,0
"188","b1167",90913,538320.749051954,1558013,13338290,0.000294483645393287,0.451176294815079,1558013,1859538831.23439,222
"189","b1168",157508,364717.820015003,1029281,11510427,0.000254127965653267,0.451213356869334,1029281,1859387004.80634,222
"190","b1169",102103,592555.384112291,887737,8403994,0.000185543933216575,0.451091906778054,887737,1859323427.2578,222
"191","b117",546.858325123153,1772.42685147748,22699.7485714286,39235.1361576355,8.66235921036539e-07,6.28167563699954e-07,22699.7485714286,1772.42685147748,0
"192","b1170",82590,21263.7749716248,320872,3248990,7.17314152748467e-05,0.450949771192798,320872,1858523445.31862,222
"193","b1171",725990,8848.76096803842,562321,3694412,8.1565471536809e-05,0.450953668590487,562321,1858514770.23129,222
"194","b1172",13126,64137.9369809644,67917,579834,1.28016132534958e-05,6.90100310483448e-05,67917,66707.4295193908,0
